dateTime,outTemp,appTemp,outHumidity,dewpoint,heatindex,humidex,altimeter,barometer,pressure,dayRain,monthRain,yearRain,rainRate,windDir,windGust,windGustDir,windSpeed,windSpeed10,windchill,cloudbase,dayET,forecastIcon,forecastRule,sunrise,sunset
1659259324,24.2777777777778,24.6433834563464,50,13.1800388493202,24.0666666666667,27.1739713535496,1021.16489890651,1017.20327514531,936.550949054297,0,11.019999932778,33.559999795284,0,202,3.218688,202,3.218688,0,24.2777777777778,2076.93116796393,0,6,44,1659239700,1659293280
1659262808,25.8888888888889,25.9704925534268,40,11.2422656018457,25.5777777777778,27.7628244550101,1020.55384017299,1016.49213363196,935.98124895602,0,11.019999932778,33.559999795284,0,113,1.609344,120,1.609344,3.218688,25.8888888888889,2509.61007354319,0,6,44,1659239700,1659293280
1659266292,26.2222222222222,25.1626175940148,43,12.6387866117493,26.0227777777778,28.8209297274453,1020.14350950744,1016.18735869766,935.598693498666,0,11.019999932778,33.559999795284,0,157,9.656064,163,9.656064,6.437376,26.2222222222222,2379.98655419383,0,6,44,1659239700,1659293280
1659269776,27.3333333333333,27.1783669454768,40,12.5302532491935,27.1145677915556,29.8735282635117,1019.57147311073,1015.61167271066,935.065381582722,0,11.019999932778,33.559999795284,0,212,4.828032,212,4.828032,1.609344,27.3333333333333,2528.68523883406,0,3,189,1659239700,1659293280
1659273258,28.3333333333333,28.7107171282499,37,12.22952150607,27.7505398555555,30.7133548678647,1019.26073655464,1015.30689777637,934.775682277369,0,11.019999932778,33.559999795284,0,152,1.609344,128,1.609344,1.609344,28.3333333333333,2687.27005879454,0,3,189,1659239700,1659293280
1659276742,29.0555555555556,29.3201117753737,37,12.8668487547869,28.4054893108889,31.7784503796702,1018.83326838662,1014.69734790778,934.377156169399,0,11.019999932778,33.559999795284,0,189,4.828032,250,3.218688,4.828032,29.0555555555556,2697.62042823856,0,3,189,1659239700,1659293280
1659280226,29.5555555555556,29.3371002948889,37,13.3079526389732,28.8984072208889,32.5234563378455,1018.36041548981,1014.3587090919,933.936320751154,0,11.019999932778,33.559999795284,0,210,8.04672,205,6.437376,4.828032,29.5555555555556,2704.80102483126,0,3,189,1659239700,1659293280
1659283710,28.3888888888889,28.6542336251217,36,11.8621698704746,27.7318679881667,30.5771051458963,1017.89104784293,1014.0877980392,933.498737305527,0,11.019999932778,33.559999795284,0,130,3.218688,181,1.609344,1.609344,28.3888888888889,2738.83077538598,0,6,45,1659239760,1659293280
1659287194,27.2222222222222,27.7374217863894,38,11.6518783482785,26.9247135777778,29.3025160163689,1017.85089693776,1014.05393415761,933.461305427534,0,11.019999932778,33.559999795284,0,,1.609344,302,0,1.609344,27.2222222222222,2622.22980758277,0,6,45,1659239760,1659293280
1659290680,25.5,26.0092922136405,42,11.6320507879679,25.2022222222222,27.5701879823991,1018.13020521976,1014.49416461825,933.721699307912,0,11.019999932778,33.559999795284,0,,1.609344,245,0,1.609344,25.5,2414.67436627968,0,6,45,1659239760,1659293280
1659294164,23.3888888888889,23.6188311952392,48,11.7444507355919,23.0366666666667,25.5165242363669,1018.51328224558,1015.03598672367,934.07883640198,0,11.019999932778,33.559999795284,0,356,4.828032,309,1.609344,4.828032,23.3888888888889,2143.58457178992,0,6,45,1659239760,1659293280
1659297649,23,22.4063282408638,47,11.071650855314,22.5827777777778,24.7894647741132,1019.26106117682,1015.81485600019,934.77598492161,0,11.019999932778,33.559999795284,0,16,8.04672,349,4.828032,4.828032,23,2178.19891382644,0,6,75,1659239760,1659293280
1659301133,22.1666666666667,20.0580863356693,50,11.2433373996404,21.7444444444444,24.0411356131764,1020.09884714974,1016.18735869766,935.557054452258,0,11.019999932778,33.559999795284,0,270,19.312128,302,12.874752,17.702784,22.1666666666667,2055.66719489364,0,6,75,1659239760,1659293280
1659304677,20.3888888888889,19.8648410191621,56,11.311533962338,19.9455555555556,22.2973664233048,1020.62262299408,1016.55986139513,936.045376082161,0,11.019999932778,33.559999795284,0,297,9.656064,267,4.828032,8.04672,20.3888888888889,1830.60656268905,0,8,1,1659239760,1659293280
1659308165,20.0555555555556,19.6773249611162,55,10.7300283219314,19.5527777777778,21.6784635731309,1020.80577025962,1016.76304468466,936.21612696201,0,0,33.559999795284,0,295,4.828032,335,3.218688,4.828032,20.0555555555556,1860.86365516368,0,8,1,1659326160,1659379560
1659311649,19.5,19.6786059562918,56,10.4839722295851,18.9677777777778,21.0050476052677,1021.18613651836,1017.00009185578,936.57074931094,0,0,33.559999795284,0,,0,,0,3.218688,19.5,1823.12957439694,0,6,44,1659326160,1659379560
1659315133,18.7777777777778,18.2895594471438,58,10.336224291706,18.2255555555556,20.2128898162406,1020.92798510511,1016.89850021101,936.330069881967,0,0,33.559999795284,0,337,4.828032,322,3.218688,1.609344,18.7777777777778,1753.08984373294,0,6,44,1659326160,1659379560
1659318616,18.2777777777778,18.3572018061469,59,10.1240549974038,17.7016666666667,19.6135456066351,1021.17574411488,1017.00009185578,936.561060261528,0,0,33.559999795284,0,,0,,0,1.609344,18.2777777777778,1717.99761131568,0,6,44,1659326160,1659379560
1659322101,17.7777777777778,17.5522381146772,61,10.1532388204336,17.2038888888889,19.1271349524172,1020.94242220092,1016.76304468466,936.343529837023,0,0,33.559999795284,0,150,1.609344,150,1.609344,1.609344,17.7777777777778,1653.47967997062,0,6,44,1659326160,1659379560
1659325585,17.3333333333333,17.0600823674755,62,9.97765584076183,16.7411111111111,18.6012916498595,1020.78390804398,1016.76304468466,936.195744476382,0,0,33.559999795284,0,181,3.218688,170,1.609344,1.609344,17.3333333333333,1620.70017165871,0,6,44,1659326160,1659379560
1659329069,17.1666666666667,16.9800650673107,64,10.2952048210043,16.61,18.5824727236052,1020.96021460526,1016.9323640926,936.360118007978,0,0,33.559999795284,0,113,1.609344,112,1.609344,0,17.1666666666667,1561.66474671957,0,6,44,1659326160,1659379560
1659332554,19.5555555555556,19.8234646869476,57,10.801672104671,19.055,21.2131103121521,1021.09511974632,1016.89850021101,936.485892565579,0,0,33.559999795284,0,,0,,0,0,19.5555555555556,1791.16901839746,0,6,44,1659326160,1659379560
1659336038,21.8333333333333,22.570566911439,55,12.3810821127065,21.5083333333333,24.2937199642348,1020.82368470201,1016.72918080307,936.232828881248,0,0,33.559999795284,0,,0,,0,0,21.8333333333333,1876.31380525784,0,6,44,1659326160,1659379560
1659339522,21.8333333333333,22.0308424305402,56,12.6558942488713,21.5344444444445,24.4412983534708,1020.17730404529,1016.22122257925,935.630200412488,0,0,33.559999795284,0,136,4.828032,135,3.218688,1.609344,21.8333333333333,1842.80879289304,0,6,44,1659326160,1659379560
1659343006,23.6111111111111,24.0940380837302,50,12.5685917788092,23.3333333333333,26.1719320849406,1019.92683020144,1015.81485600019,935.396682007322,0,0,33.559999795284,0,109,1.609344,108,1.609344,1.609344,23.6111111111111,2070.19881153384,0,6,44,1659326160,1659379560
1659346550,27.2777777777778,27.8523651942563,41,12.8577870014598,27.1267135451112,29.9957060891821,1019.97454743198,1015.54394494749,935.441169034642,0,0,33.559999795284,0,151,3.218688,136,1.609344,1.609344,27.2777777777778,2481.97910651209,0,6,45,1659326160,1659379560
1659350034,28.7777777777778,29.8505063251609,39,13.4279029791084,28.302098852,31.8134153560284,1019.47648971279,1014.86666731572,934.976828553196,0,0,33.559999795284,0,,1.609344,188,0,1.609344,28.7777777777778,2595.35028473413,0,6,45,1659326160,1659379560
1659353518,29.8333333333333,30.4963566058815,36,13.1323299750028,29.0901004279445,32.7029202449556,1018.84805382694,1014.0877980392,934.390940512733,0,0,33.559999795284,0,122,4.828032,153,1.609344,1.609344,29.8333333333333,2760.07946929513,0,3,189,1659326160,1659379560
1659357002,31.3333333333333,31.6643756955234,35,14.0148770116866,30.6476423617778,34.7074310886149,1018.10863304868,1013.30892876267,933.701587942696,0,0,33.559999795284,0,212,9.656064,218,4.828032,4.828032,31.3333333333333,2835.35914747567,0,7,94,1659326160,1659379560
1659360486,30.6666666666667,29.4280128832032,32,12.0619679042645,29.5745141964444,32.9586824634778,1017.20542531152,1012.76710665726,932.859547984039,0,0,33.559999795284,0,208,9.656064,208,9.656064,8.04672,30.6666666666667,2992.17743608214,0,7,94,1659326160,1659379560
1659363970,31.1111111111111,30.1243849404092,35,13.8203337636051,30.3860181777779,34.3717338413016,1017.01383799071,1012.3607400782,932.680936785923,0,0,33.559999795284,0,158,11.265408,158,11.265408,8.04672,31.1111111111111,2831.98453533601,0,3,189,1659326160,1659379560
1659367454,30.1666666666667,29.4707035026962,39,14.6610222369438,29.7660709131111,33.9270851718136,1016.64034229395,1012.25914843344,932.332739081047,0,0,33.559999795284,0,199,11.265408,199,11.265408,9.656064,30.1666666666667,2614.34167094926,0,3,189,1659326160,1659379560
1659370937,28.5,28.9939763440773,40,13.5699786596444,28.1177016190556,31.6164911985617,1015.96141519103,1011.92050961755,931.699802155155,0,0,33.559999795284,0,264,3.218688,264,3.218688,3.218688,28.5,2544.16187832485,0,6,45,1659326280,1659379560
1659374421,29.1666666666667,30.2215364330071,38,13.3737340159328,28.5971157486111,32.1716552706371,1016.29351072629,1011.95437349914,932.009400999181,0,0,33.559999795284,0,,0,,0,0,29.1666666666667,2649.36776379788,0,6,45,1659326280,1659379560
1659377905,26.8888888888889,28.2489922239397,46,14.2773205279284,27.0893659528889,30.4181357600235,1017.06311016855,1012.39460395979,932.72687173833,0,0,33.559999795284,0,,0,,0,1.609344,26.8888888888889,2261.4967936385,0,6,45,1659326280,1659379560
1659381389,24.5,25.8616840721997,53,14.2818812301269,24.3894444444444,28.0319641975252,1017.44386295451,1013.24120099949,933.081836983123,0,0,33.559999795284,0,,0,,0,0,24.5,1969.68814478088,0,6,45,1659326280,1659379560
1659384873,23.8333333333333,24.8667357360448,55,14.2375332145387,23.7083333333333,27.338905190888,1018.09656532355,1013.74915922331,933.690337411961,0,0,33.559999795284,0,122,3.218688,124,1.609344,1.609344,23.8333333333333,1893.8152434228,0,6,75,1659326280,1659379560
1659388357,22.6666666666667,23.8311033428504,57,13.7034618762154,22.4772222222222,25.8597408581943,1018.12933899947,1013.64756757855,933.720891745479,0,0,33.559999795284,0,,0,,0,0,22.6666666666667,1816.68941268674,0,6,75,1659326280,1659379560
1659391841,19.4444444444444,16.417451925199,72,14.2596987730362,19.3244444444444,22.9631988660138,1019.97063770028,1015.64553659225,935.43752396998,0,0.179999998902,33.739999794186,0,309,35.405568,307,22.530816,25.749504,19.4444444444444,1356.02082188061,0,6,74,1659412680,1659465900
1659395325,18.2777777777778,16.0904210658045,76,13.9709622142567,18.1455555555556,21.6261470017666,1020.74836503696,1016.28895034243,936.16260718743,0,0.179999998902,33.739999794186,0,316,17.702784,302,17.702784,14.484096,18.2777777777778,1248.98384916644,0,8,40,1659412680,1659465900
1659398809,18.1111111111111,15.3801278199099,78,14.2107621612304,18.0144444444444,21.6007841972231,1021.14302989697,1016.52599751354,936.530560138521,0,0.179999998902,33.739999794186,0,293,30.577536,304,20.921472,20.921472,18.1111111111111,1199.4275628031,0,8,1,1659412680,1659465900
1659402293,17.3333333333333,16.5507920711709,83,14.4148603740732,17.2894444444445,20.9448483933884,1021.16574003949,1016.69531692149,936.551733259541,0.019999999878,0.19999999878,33.759999794064,0,316,19.312128,291,11.265408,17.702784,17.3333333333333,1079.71753956483,0,8,41,1659412680,1659465900
1659405778,17.6111111111111,18.4887517299372,83,14.6863136466022,17.595,21.3869502000804,1021.67754832835,1017.20327514531,937.028904057411,0.019999999878,0.19999999878,33.759999794064,0,315,3.218688,37,3.218688,3.218688,17.6111111111111,1080.48862132824,0,6,44,1659412680,1659465900
1659409262,16.6111111111111,15.4607327234904,86,14.2569433683588,16.5733333333333,20.1282258730809,1021.64316583679,1017.33873067166,936.996848358733,0.019999999878,0.19999999878,33.759999794064,0,302,16.09344,297,12.874752,12.874752,16.6111111111111,1010.91761856978,0,6,44,1659412680,1659465900
1659412746,16.6666666666667,17.1622984179196,87,14.4904598265733,16.6605555555556,20.3236838857804,1021.63235313037,1017.47418619801,936.986767391916,0.019999999878,0.19999999878,33.759999794064,0,262,4.828032,262,4.828032,6.437376,16.6666666666667,989.220679245143,0,6,44,1659412680,1659465900
1659416230,16.1111111111111,17.7789846221681,94,15.1438148904731,16.2322222222222,20.1698636110547,1021.97141007718,1017.94828054025,937.302879662915,0.019999999878,0.19999999878,33.759999794064,0,,0,,0,0,16.1111111111111,841.830662857692,0,6,44,1659412680,1659465900
